Heading,Input,Ground Truth,Correct Prediction,1. Predicted Label,2. Predicted Label,3. Predicted Label,4. Predicted Label,1. Predicted Sub-label,2. Predicted Sub-label,3. Predicted Sub-label,4. Predicted Sub-label,1. Similarity,2. Similarity,3. Similarity,4. Similarity
layer_process,key: layer_process value: Spincoating,manufacturing,True,manufacturing,parameter,parameter,parameter,manufacturing process,process condition,condition parameter,process quantity,0.8086704,0.7976454,0.7975914,0.78845954
layer_material_temperature,key: layer_material_temperature ,property,True,property,property,parameter,matter,material_property,device_property,material measurement parameter,material name,0.7942503,0.7942503,0.7866225,0.7861095
layer_material_stirring_speed,key: layer_material_stirring_speed ,parameter,True,parameter,property,property,parameter,material manufacturing parameter,material_property,device_property,material measurement parameter,0.7720622,0.7716714,0.7716714,0.7670122
layer_material_content_ratio,key: layer_material_content_ratio value: 1,property,True,property,parameter,parameter,matter,material concentration,material condition,material measurement parameter,material type,0.8274828,0.79294145,0.7791403,0.7774069
annealing_temperature,key: annealing_temperature value: 180,parameter,True,parameter,parameter,parameter,parameter,manufacturing parameter,measurement parameter,device manufacturing parameter,process quantity,0.76343536,0.76142704,0.75830424,0.75649786
layer_material_solid_concentration,key: layer_material_solid_concentration ,property,True,property,property,property,matter,material concentration,material_property,device_property,material,0.8294494,0.77885115,0.77885115,0.7779383
layer_material_stirring_time,key: layer_material_stirring_time ,parameter,True,parameter,property,property,parameter,material manufacturing parameter,material_property,device_property,material measurement parameter,0.7734561,0.77182364,0.77182364,0.7665385
content_function,key: content_function value: ETL,matter,True,matter,matter,parameter,matter,component composition,material composition,material condition,component type,0.8149195,0.801088,0.7727885,0.76510733
layer_number,key: layer_number value: 1,x,False,matter,matter,matter,parameter,material id,component composition,device id,process parameter,0.74286646,0.74088615,0.7377164,0.7366647
product_id,key: product_id value: 13841,matter,True,matter,matter,matter,parameter,device id,material id,component id,process quantity,0.8195974,0.8134076,0.7890959,0.78574735
material_batch_barcode,key: material_batch_barcode value: 121800,matter,True,matter,matter,parameter,matter,material id,material type,material manufacturing parameter,material name,0.8134898,0.78415227,0.7833623,0.7781066
layer_process_location,key: layer_process_location value: OPVSpinbot,metadata:device,False,parameter,parameter,manufacturing,matter,process condition,condition parameter,manufacturing process,component name,0.7755239,0.7754903,0.759429,0.757245
layer_function,key: layer_function value: ETL,matter,True,matter,matter,matter,matter,component composition,material composition,device composition,component type,0.7903095,0.7762527,0.75030255,0.74381506
material_name_short,key: material_name_short value: ZnO,matter,True,matter,matter,parameter,property,material name,material id,material manufacturing parameter,material_property,0.8033277,0.7870844,0.7831894,0.78215986
annealing_time,key: annealing_time value: 00:46:01,parameter/manufacturing,False,parameter,manufacturing,parameter,measurement,manufacturing parameter,manufacturing process,measurement parameter,measurement process,0.76855206,0.7612677,0.7547014,0.7537545
