Heading,Input,Ground Truth,Correct Prediction,1. Predicted Label,2. Predicted Label,3. Predicted Label,4. Predicted Label,1. Predicted Sub-label,2. Predicted Sub-label,3. Predicted Sub-label,4. Predicted Sub-label,1. Similarity,2. Similarity,3. Similarity,4. Similarity
0,key: product_id value: 13842,matter,True,matter,matter,matter,parameter,device id,material id,component id,process quantity,0.8235443,0.801405,0.78880155,0.7865325
1,key: layer_function value: ETL,matter,False,manufacturing,matter,matter,matter,layer_process,component composition,material composition,device composition,0.79043806,0.79019964,0.77610517,0.75017977
2,key: layer_process value: Spincoating,manufacturing,True,manufacturing,manufacturing,manufacturing,parameter,layer_process,component manufacturing,manufacturing process,process condition,0.8534011,0.8144541,0.80802,0.79718196
3,key: layer_process_location value: OPVSpinbot,metadata,False,manufacturing,metadata,parameter,parameter,layer_process,location,process condition,condition parameter,0.80991757,0.7781867,0.77551657,0.7754903
4,key: layer_number value: 1,matter,False,manufacturing,matter,property,matter,layer_process,component composition,material ratio,device id,0.8102442,0.7410726,0.73798037,0.73789215
5,key: layer_material_content_ratio value: 1,matter,True,matter,property,parameter,manufacturing,material concentration,material ratio,material condition,layer_process,0.82776034,0.79522693,0.7928934,0.7867478
6,key: content_function value: ETL,matter,True,matter,matter,parameter,matter,component composition,material composition,material condition,component type,0.8151181,0.80125636,0.7730519,0.76529086
7,key: material_batch_barcode value: 121800,matter,True,matter,parameter,property,parameter,material id,material manufacturing parameter,material ratio,material process parameter,0.79532516,0.78295505,0.7821748,0.78033435
8,key: material_name_short value: ZnO,matter,True,matter,matter,matter,property,material name,material id,material name abbreviation,material ratio,0.80330205,0.78916574,0.78704035,0.7848911
9,key: annealing_time value: 00:46:01,parameter,True,parameter,manufacturing,parameter,measurement,manufacturing parameter,manufacturing process,measurement parameter,measurement process,0.7681942,0.761035,0.75451636,0.75360316
10,key: annealing_temperature value: 180,parameter,True,parameter,parameter,parameter,parameter,manufacturing parameter,measurement parameter,device manufacturing parameter,process quantity,0.7632158,0.761356,0.75830424,0.7565472
11,key: product_id value: 13842,matter,True,matter,matter,matter,parameter,device id,material id,component id,process quantity,0.8234918,0.80122495,0.7887049,0.78651893
12,key: layer_function value: ActiveLayer,matter,False,manufacturing,matter,matter,matter,layer_process,component composition,material composition,device composition,0.7866862,0.78198147,0.7608139,0.73960763
13,key: layer_process value: Spincoating,manufacturing,True,manufacturing,manufacturing,manufacturing,parameter,layer_process,component manufacturing,manufacturing process,process condition,0.85333633,0.81443053,0.8079117,0.7971767
14,key: layer_process_location value: LineOne,metadata,False,manufacturing,metadata,parameter,parameter,layer_process,location,process condition,condition parameter,0.8293083,0.7930121,0.77923274,0.7792294
15,key: layer_number value: 2,matter,False,manufacturing,matter,parameter,property,layer_process,device type,process parameter,material ratio,0.8064611,0.7369897,0.7366462,0.7354595
16,key: layer_material_solid_concentration value: 19.5094339622642,matter,True,matter,parameter,property,property,material concentration,material measurement parameter,device_property,material_property,0.8154417,0.7667067,0.7638698,0.76368225
17,key: layer_material_temperature value: 25,parameter,False,manufacturing,parameter,property,parameter,layer_process,material condition,material ratio,material process parameter,0.771879,0.76949084,0.7688622,0.7672587
18,key: layer_material_stirring_time value: 100,parameter,True,parameter,matter,parameter,parameter,material process parameter,material concentration,material manufacturing parameter,material measurement parameter,0.78282875,0.7770708,0.7765095,0.7723276
