"Resistance Measure (Ohms)": "200",value,PropertyAttributeEmbedding,PropertyAttribute
"Tensile Strength (MPa)": "350",value,PropertyAttributeEmbedding,PropertyAttribute
"Thermal Conductivity (W/mK)": "0.25",value,PropertyAttributeEmbedding,PropertyAttribute
"Moisture Sensitivity (g/m2)": "0.02",value,PropertyAttributeEmbedding,PropertyAttribute
"Corrosion Rate (mm/year)": "0.3",value,PropertyAttributeEmbedding,PropertyAttribute
"Optical Transparency (%)": "85",value,PropertyAttributeEmbedding,PropertyAttribute
"Magnetic Susceptibility (SI units)": "1.2",value,PropertyAttributeEmbedding,PropertyAttribute
"Elastic Modulus (GPa)": "100",value,PropertyAttributeEmbedding,PropertyAttribute
"Dielectric Strength (MV/m)": "14",value,PropertyAttributeEmbedding,PropertyAttribute
"Hardness (Mohs)": "7",value,PropertyAttributeEmbedding,PropertyAttribute
"Resistance Error (Ohms)": "±10",error,PropertyAttributeEmbedding,PropertyAttribute
"Tensile Error (MPa)": "±5",error,PropertyAttributeEmbedding,PropertyAttribute
"Conductivity Error (W/mK)": "±0.02",error,PropertyAttributeEmbedding,PropertyAttribute
"Moisture Error (g/m2)": "±0.001",error,PropertyAttributeEmbedding,PropertyAttribute
"Corrosion Error (mm/year)": "±0.05",error,PropertyAttributeEmbedding,PropertyAttribute
"Transparency Error (%)": "±2",error,PropertyAttributeEmbedding,PropertyAttribute
"Magnetic Error (SI units)": "±0.1",error,PropertyAttributeEmbedding,PropertyAttribute
"Elastic Error (GPa)": "±2",error,PropertyAttributeEmbedding,PropertyAttribute
"Dielectric Error (MV/m)": "±1",error,PropertyAttributeEmbedding,PropertyAttribute
"Hardness Error (Mohs)": "±0.5",error,PropertyAttributeEmbedding,PropertyAttribute
"Resistance standard deviation(Ohms)": "5",std,PropertyAttributeEmbedding,PropertyAttribute
"Strength standard deviation(MPa)": "3",std,PropertyAttributeEmbedding,PropertyAttribute
"Conductivity standard deviation(W/mK)": "0.01",std,PropertyAttributeEmbedding,PropertyAttribute
"Moisture standard deviation(g/m2)": "0.0005",std,PropertyAttributeEmbedding,PropertyAttribute
"Corrosion standard deviation(mm/year)": "0.02",std,PropertyAttributeEmbedding,PropertyAttribute
"Transparency standard deviation(%)": "1",std,PropertyAttributeEmbedding,PropertyAttribute
"Magnetic standard deviation(SI units)": "0.05",std,PropertyAttributeEmbedding,PropertyAttribute
"Elastic standard deviation(GPa)": "1",std,PropertyAttributeEmbedding,PropertyAttribute
"Dielectric standard deviation(MV/m)": "0.5",std,PropertyAttributeEmbedding,PropertyAttribute
"Hardness standard deviation(Mohs)": "0.2",std,PropertyAttributeEmbedding,PropertyAttribute
"Target Property": "Resistance Measure (Ohms)",name,PropertyAttributeEmbedding,PropertyAttribute
"Property" : "Performanec",name,PropertyAttributeEmbedding,PropertyAttribute
"Property" : "Resistance Measure",name,PropertyAttributeEmbedding,PropertyAttribute
"Property" : "Tensile Strength (MPa)",name,PropertyAttributeEmbedding,PropertyAttribute
"Metric" : "Activity",name,PropertyAttributeEmbedding,PropertyAttribute
"Metric" : "Performance",name,PropertyAttributeEmbedding,PropertyAttribute
