Heading,Input,Ground Truth,Correct Prediction,1. Predicted Label,2. Predicted Label,3. Predicted Label,4. Predicted Label,1. Predicted Sub-label,2. Predicted Sub-label,3. Predicted Sub-label,4. Predicted Sub-label,1. Similarity,2. Similarity,3. Similarity,4. Similarity
0,key: product_id value: 13842,matter,True,matter,matter,matter,parameter,device id,material id,component id,process quantity,0.82343096,0.8012855,0.78803617,0.78642213
1,key: layer_function value: ETL,matter,True,matter,matter,matter,matter,component composition,material composition,device composition,component type,0.79017544,0.7761752,0.7501818,0.7436029
2,key: layer_process value: Spincoating,manufacturing,True,manufacturing,parameter,parameter,parameter,manufacturing process,process condition,condition parameter,process quantity,0.808069,0.7971218,0.7971218,0.78842926
3,key: layer_process_location value: OPVSpinbot,metadata,True,metadata,parameter,parameter,manufacturing,location,process condition,condition parameter,manufacturing process,0.7782775,0.7754903,0.7754903,0.75942725
4,key: layer_number value: 1,matter,True,matter,matter,property,parameter,component composition,device id,material ratio,process parameter,0.74107456,0.73783433,0.73783374,0.73690915
9,key: layer_material_content_ratio value: 1,matter,True,matter,property,parameter,matter,material concentration,material ratio,material condition,material id,0.8275701,0.7950576,0.7927532,0.7848344
10,key: content_function value: ETL,matter,True,matter,matter,parameter,matter,component composition,material composition,material condition,component type,0.8149195,0.8011613,0.77284914,0.76511693
11,key: material_batch_barcode value: 121800,matter,True,matter,matter,parameter,property,material id,material type,material manufacturing parameter,material ratio,0.79532146,0.78395206,0.7831545,0.7819652
12,key: material_name_short value: ZnO,matter,True,matter,matter,property,parameter,material name,material id,material ratio,material manufacturing parameter,0.8032123,0.78910273,0.78470594,0.7831198
13,key: annealing_time value: 00:46:01,parameter,True,parameter,manufacturing,parameter,measurement,manufacturing parameter,manufacturing process,measurement parameter,measurement process,0.7684562,0.7611074,0.75459856,0.75372076
14,key: annealing_temperature value: 180,parameter,True,parameter,parameter,parameter,parameter,manufacturing parameter,measurement parameter,device manufacturing parameter,process quantity,0.76348037,0.7614773,0.75834453,0.75659055
15,key: product_id value: 13842,matter,True,matter,matter,matter,parameter,device id,material id,component id,process quantity,0.82343096,0.8012855,0.78803617,0.78642213
16,key: layer_function value: ActiveLayer,matter,True,matter,matter,matter,parameter,component composition,material composition,device composition,process parameter,0.7817401,0.76073563,0.7394749,0.7197647
17,key: layer_process value: Spincoating,manufacturing,True,manufacturing,parameter,parameter,parameter,manufacturing process,process condition,condition parameter,process quantity,0.808069,0.7971218,0.7971218,0.78842926
18,key: layer_process_location value: LineOne,metadata,True,metadata,parameter,parameter,manufacturing,location,process condition,condition parameter,manufacturing process,0.79313815,0.7792294,0.7792294,0.75240564
19,key: layer_number value: 2,matter,True,matter,parameter,property,parameter,device type,process parameter,material ratio,process quantity,0.7371126,0.7367679,0.735338,0.7345284
20,key: layer_material_solid_concentration value: 19.5094339622642,matter,True,matter,parameter,property,property,material concentration,material measurement parameter,material_property,device_property,0.81536543,0.76668334,0.7638771,0.7638771
21,key: layer_material_temperature value: 25,parameter,True,parameter,property,parameter,parameter,material condition,material ratio,material process parameter,material manufacturing parameter,0.7693987,0.7687146,0.7672587,0.765203
22,key: layer_material_stirring_time value: 100,parameter,True,parameter,matter,parameter,parameter,material process parameter,material concentration,material manufacturing parameter,material measurement parameter,0.78292024,0.77715653,0.7768178,0.7724247
23,key: layer_material_stirring_speed value: 600,parameter,True,parameter,parameter,parameter,property,material process parameter,material manufacturing parameter,manufacturing parameter,material_property,0.7814126,0.77703935,0.77198166,0.7657554
24,key: layer_material_content_ratio value: 0.9152,matter,True,matter,property,parameter,matter,material concentration,material ratio,material condition,material id,0.8171294,0.7920501,0.7868524,0.7867001
25,key: content_function value: Donor,matter,True,matter,matter,matter,parameter,component composition,material composition,device composition,material condition,0.8199369,0.8038173,0.78094614,0.7765193
26,key: material_batch_barcode value: 321100,matter,True,matter,property,parameter,matter,material id,material ratio,material manufacturing parameter,material type,0.7885401,0.7790147,0.7763751,0.77514195
27,key: material_name_short value: PM6,matter,False,parameter,parameter,matter,matter,material process parameter,material manufacturing parameter,material name,material id,0.8131231,0.80832887,0.80176115,0.792137
28,key: annealing_time value: 00:10:15,parameter,True,parameter,parameter,manufacturing,property,manufacturing parameter,measurement parameter,manufacturing process,material ratio,0.7683909,0.7607719,0.75926113,0.75578153
29,key: annealing_temperature value: 160,parameter,False,matter,parameter,manufacturing,property,material type,manufacturing parameter,manufacturing process,material ratio,0.76475394,0.7619473,0.75907576,0.75896114
30,key: product_id value: 13842,matter,True,matter,matter,matter,parameter,device id,material id,component id,process quantity,0.8235443,0.8014557,0.7881619,0.7865325
31,key: layer_function value: ActiveLayer,matter,True,matter,matter,matter,parameter,component composition,material composition,device composition,process parameter,0.7819145,0.76091653,0.7396482,0.7198594
32,key: layer_process value: Spincoating,manufacturing,True,manufacturing,parameter,parameter,parameter,manufacturing process,process condition,condition parameter,process quantity,0.808069,0.7971218,0.7971218,0.78842926
33,key: layer_process_location value: LineOne,metadata,True,metadata,parameter,parameter,manufacturing,location,process condition,condition parameter,manufacturing process,0.79317594,0.77927446,0.77927446,0.7524092
34,key: layer_number value: 2,matter,True,matter,parameter,property,parameter,device type,process parameter,material ratio,process quantity,0.7371126,0.7367679,0.735338,0.7345284
35,key: layer_material_solid_concentration value: 19.0943396226415,matter,True,matter,parameter,parameter,property,material concentration,material measurement parameter,material manufacturing parameter,material ratio,0.8170581,0.7687454,0.7649706,0.7648102
36,key: layer_material_temperature value: 24,parameter,True,parameter,matter,parameter,property,material condition,material type,material process parameter,material ratio,0.77191436,0.77134186,0.77025235,0.76845634
37,key: layer_material_stirring_time value: 240,parameter,True,parameter,matter,parameter,matter,material process parameter,material concentration,material manufacturing parameter,material type,0.7868117,0.7798393,0.77381146,0.77260506
38,key: layer_material_stirring_speed value: 500,parameter,True,parameter,parameter,parameter,property,material process parameter,material manufacturing parameter,manufacturing parameter,material_property,0.77487516,0.7653624,0.75963837,0.7581912
39,key: layer_material_content_ratio value: 0.0336,matter,True,matter,property,parameter,matter,material concentration,material ratio,material condition,material id,0.824667,0.7888875,0.7875284,0.7833104
40,key: content_function value: Acceptor,matter,True,matter,matter,matter,parameter,component composition,material composition,device composition,material condition,0.8094342,0.78361344,0.7594744,0.7570766
41,key: material_batch_barcode value: 321116,matter,True,matter,property,parameter,parameter,material id,material ratio,process quantity,manufacturing quanity,0.7889621,0.7765938,0.7730571,0.77262247
42,key: material_name_short value: Y12,matter,True,matter,parameter,matter,parameter,material name,material manufacturing parameter,material id,material process parameter,0.7994535,0.7944653,0.78638184,0.7778722
43,key: annealing_time value: 00:10:15,parameter,True,parameter,parameter,manufacturing,property,manufacturing parameter,measurement parameter,manufacturing process,material ratio,0.76836765,0.7607897,0.7592894,0.7558006
